RGP - count-left-right.py
3328
 3304co2     Oc  125   3.278   3.042  16.913    1
 3304co2     Oc  126   3.491   2.936  16.888    1
 3305co2     Co  127   2.299   1.152  29.655    2
 3305co2     Oc  128   2.398   1.203  29.620    2
 3305co2     Oc  129   2.190   1.112  29.664    2
 3306co2     Co  130   2.117   1.981  42.303    0
 3306co2     Oc  131   2.197   1.958  42.222    0
 3306co2     Oc  132   2.036   2.018  42.378    0
 3307co2     Co  133   0.192   4.200  18.618    1
 3307co2     Oc  134   0.083   4.194  18.601    1
 3307co2     Oc  135   0.307   4.199  18.650    1
 3308co2     Co  136   1.051   3.276  20.550    1
 3308co2     Oc  137   1.133   3.223  20.487    1
 3308co2     Oc  138   0.967   3.332  20.609    1
 3309co2     Co  139   0.253   2.126  28.748    2
 3309co2     Oc  140   0.197   2.202  28.818    2
 3309co2     Oc  141   0.322   2.073  28.669    2
 3310co2     Co  142   3.466   2.845  34.884    0
 3310co2     Oc  143   3.364   2.869  34.831    0
 3310co2     Oc  144   3.550   2.806  34.961    0
 3311co2     Co  145   1.524   1.914  17.169    1
 3311co2     Oc  146   1.422   1.935  17.219    1
 3311co2     Oc  147   1.622   1.888  17.108    1
 3312co2     Co  148   1.769   2.982  12.217    0
 3312co2     Oc  149   1.778   3.017  12.103    0
 3312co2     Oc  150   1.744   2.940  12.322    0
 3313co2     Co  151   1.367   2.459  46.489    0
 3313co2     Oc  152   1.336   2.366  46.429    0
 3313co2     Oc  153   1.390   2.561  46.546    0
 3314co2     Co  154   2.057   2.089  43.077    0
 3314co2     Oc  155   2.080   2.004  42.999    0
 3314co2     Oc  156   2.000   2.172  43.140    0
 3315co2     Co  157   0.630   3.367  19.805    0
 3315co2     Oc  158   0.667   3.398  19.694    1
 3315co2     Oc  159   0.603   3.325  19.912    1
 3316co2     Co  160   1.438   2.658  23.876    1
 3316co2     Oc  161   1.348   2.722  23.849    1
 3316co2     Oc  162   1.520   2.587  23.912    1
 3317co2     Co  163   1.829   2.106  36.057    0
 3317co2     Oc  164   1.827   2.083  36.168    0
 3317co2     Oc  165   1.829   2.146  35.945    0
 3318co2     Co  166   0.364   2.360  22.602    0
 3318co2     Oc  167   0.298   2.442  22.547    0
 3318co2     Oc  168   0.435   2.276  22.654    0
 3319co2     Co  169   1.542   1.199  26.465    0
 3319co2     Oc  170   1.574   1.101  26.507    0
 3319co2     Oc  171   1.526   1.313  26.433    0
 3320co2     Co  172   2.662   2.673  28.493    2
 3320co2     Oc  173   2.678   2.585  28.566    2
 3320co2     Oc  174   2.630   2.753  28.423    2
 3321co2     Co  175   3.118   2.194   1.064    0
 3321co2     Oc  176   3.175   2.180   1.167    0
 3321co2     Oc  177   3.058   2.182   0.965    0
 3322co2     Co  178   3.024   1.867  18.956    1
 3322co2     Oc  179   2.923   1.879  18.900    1
 3322co2     Oc  180   3.132   1.859  18.991    1
 3323co2     Co  181   2.050   1.970  28.099    1
 3323co2     Oc  182   2.146   1.941  28.154    1
 3323co2     Oc  183   1.956   2.011  28.045    1
 3324co2     Co  184   3.232   1.865  30.466    2
 3324co2     Oc  185   3.222   1.823  30.360    2
 3324co2     Oc  186   3.221   1.885  30.581    2
 3325co2     Co  187   3.439   4.086  18.754    1
 3325co2     Oc  188   3.554   4.074  18.788    1
 3325co2     Oc  189   3.326   4.093  18.724    1
 3326co2     Co  190   0.542   3.122  28.282    2
 3326co2     Oc  191   0.453   3.088  28.352    2
 3326co2     Oc  192   0.643   3.163  28.235    2
 3327co2     Co  193   2.306   0.487  25.419    2
 3327co2     Oc  194   2.422   0.465  25.408    2
 3327co2     Oc  195   2.203   0.508  25.445    2
 3328co2     Co  196   2.583   3.590  21.991    2
 3328co2     Oc  197   2.685   3.533  22.010    2
 3328co2     Oc  198   2.477   3.630  21.978    2
 3329co2     Co  199   2.843   1.835  17.341    1
 3329co2     Oc  200   2.864   1.822  17.229    1
 3329co2     Oc  201   2.835   1.846  17.457    1
 3330co2     Co  202   1.439   1.129  30.979    2
 3330co2     Oc  203   1.539   1.141  30.916    2
 3330co2     Oc  204   1.334   1.133  31.031    2
 3331co2     Co  205   0.582   1.214  34.843    0
 3331co2     Oc  206   0.682   1.257  34.878    0
 3331co2     Oc  207   0.479   1.205  34.794    0
 3332co2     Co  208   2.268   1.872  31.195    2
 3332co2     Oc  209   2.315   1.877  31.300    2
 3332co2     Oc  210   2.220   1.865  31.087    2
 3333co2     Co  211   1.965   4.138  31.185    2
 3333co2     Oc  212   1.894   4.113  31.269    2
 3333co2     Oc  213   2.029   4.166  31.091    2
 3334co2     Co  214   0.579   2.086  32.280    0
 3334co2     Oc  215   0.590   2.195  32.252    0
 3334co2     Oc  216   0.573   1.969  32.303    0
 3335co2     Co  217   1.137   0.346  30.316    2
 3335co2     Oc  218   1.118   0.364  30.203    2
 3335co2     Oc  219   1.174   0.315  30.421    2
 3336co2     Co  220   1.490   1.179  41.075    0
 3336co2     Oc  221   1.486   1.074  41.028    0
 3336co2     Oc  222   1.487   1.291  41.101    0
 3337co2     Co  223   2.424   4.126  17.031    1
 3337co2     Oc  224   2.465   4.121  17.143    1
 3337co2     Oc  225   2.402   4.123  16.917    1
 3338co2     Co  226   2.658   1.893  25.760    1
 3338co2     Oc  227   2.696   1.863  25.652    1
 3338co2     Oc  228   2.618   1.907  25.869    1
 3339co2     Co  229   0.165   1.917  31.062    2
 3339co2     Oc  230   0.275   1.914  31.099    2
 3339co2     Oc  231   0.053   1.919  31.020    2
 3340co2     Co  232   1.870   2.006  47.716    0
 3340co2     Oc  233   1.849   2.119  47.700    0
 3340co2     Oc  234   1.889   1.897  47.729    0
 3341co2     Co  235   1.953   1.929  30.910    2
