RGP - count-left-right.py
12428
 3304co2     Oc  125   1.895   1.297  29.480    2
 3304co2     Oc  126   1.905   1.411  29.679    2
 3305co2     Co  127   2.444   4.473  44.661    0
 3305co2     Oc  128   2.511   0.061  44.691    0
 3305co2     Oc  129   2.393   4.373  44.629    0
 3306co2     Co  130   1.961   0.256  20.523    0
 3306co2     Oc  131   2.007   0.164  20.569    0
 3306co2     Oc  132   1.902   0.343  20.475    0
 3307co2     Co  133   0.335   1.846  17.250    1
 3307co2     Oc  134   0.360   1.904  17.154    1
 3307co2     Oc  135   0.331   1.781  17.352    1
 3308co2     Co  136   2.215   0.484  23.725    1
 3308co2     Oc  137   2.227   0.564  23.806    1
 3308co2     Oc  138   2.215   0.421  23.630    1
 3309co2     Co  139   2.238   4.186  30.890    2
 3309co2     Oc  140   2.304   4.200  30.985    2
 3309co2     Oc  141   2.181   4.167  30.784    2
 3310co2     Co  142   0.229   4.158  17.743    1
 3310co2     Oc  143   0.119   4.166  17.749    1
 3310co2     Oc  144   0.343   4.146  17.734    1
 3311co2     Co  145   2.510   1.385  22.291    1
 3311co2     Oc  146   2.555   1.282  22.274    1
 3311co2     Oc  147   2.481   1.492  22.308    1
 3312co2     Co  148   1.586   0.983  12.720    0
 3312co2     Oc  149   1.565   0.955  12.830    0
 3312co2     Oc  150   1.587   1.010  12.603    0
 3313co2     Co  151   1.573   4.102  31.895    0
 3313co2     Oc  152   1.477   4.119  31.838    0
 3313co2     Oc  153   1.674   4.083  31.947    0
 3314co2     Co  154   2.788   4.163  17.683    1
 3314co2     Oc  155   2.702   4.185  17.755    1
 3314co2     Oc  156   2.875   4.143  17.608    1
 3315co2     Co  157   0.356   4.073  18.530    1
 3315co2     Oc  158   0.412   4.083  18.431    1
 3315co2     Oc  159   0.320   4.064  18.641    1
 3316co2     Co  160   2.165   1.864  17.398    1
 3316co2     Oc  161   2.159   1.858  17.288    1
 3316co2     Oc  162   2.169   1.851  17.514    1
 3317co2     Co  163   0.352   1.881  17.684    1
 3317co2     Oc  164   0.425   1.904  17.596    1
 3317co2     Oc  165   0.287   1.862  17.772    1
 3318co2     Co  166   0.358   3.454  19.196    1
 3318co2     Oc  167   0.362   3.446  19.308    1
 3318co2     Oc  168   0.339   3.451  19.079    1
 3319co2     Co  169   2.635   1.877  31.620    0
 3319co2     Oc  170   2.604   1.884  31.729    0
 3319co2     Oc  171   2.673   1.876  31.510    0
 3320co2     Co  172   3.303   2.505  38.649    0
 3320co2     Oc  173   3.398   2.458  38.606    0
 3320co2     Oc  174   3.214   2.548  38.704    0
 3321co2     Co  175   1.892   2.791  32.121    0
 3321co2     Oc  176   1.901   2.676  32.125    0
 3321co2     Oc  177   1.896   2.902  32.106    0
 3322co2     Co  178   2.577   0.725  17.644    1
 3322co2     Oc  179   2.480   0.763  17.696    1
 3322co2     Oc  180   2.666   0.674  17.601    1
 3323co2     Co  181   0.723   1.885  17.788    1
 3323co2     Oc  182   0.824   1.932  17.751    1
 3323co2     Oc  183   0.621   1.840  17.825    1
 3324co2     Co  184   1.167   1.907  17.174    1
 3324co2     Oc  185   1.095   1.856  17.255    1
 3324co2     Oc  186   1.229   1.950  17.087    1
 3325co2     Co  187   1.443   4.094  17.892    1
 3325co2     Oc  188   1.525   4.104  17.818    1
 3325co2     Oc  189   1.357   4.087  17.970    1
 3326co2     Co  190   2.494   4.144  17.545    1
 3326co2     Oc  191   2.418   4.164  17.635    1
 3326co2     Oc  192   2.577   4.117  17.469    1
 3327co2     Co  193   0.181   3.299  33.805    0
 3327co2     Oc  194   0.289   3.316  33.848    0
 3327co2     Oc  195   0.076   3.274  33.767    0
 3328co2     Co  196   1.806   3.991  14.056    0
 3328co2     Oc  197   1.706   3.938  14.038    0
 3328co2     Oc  198   1.905   4.058  14.045    0
 3329co2     Co  199   3.618   1.913   7.093    0
 3329co2     Oc  200   3.657   1.813   7.137    0
 3329co2     Oc  201   3.578   2.019   7.069    0
 3330co2     Co  202   0.118   1.675  46.532    0
 3330co2     Oc  203   0.102   1.715  46.640    0
 3330co2     Oc  204   0.143   1.626  46.429    0
 3331co2     Co  205   0.346   1.841  18.294    1
 3331co2     Oc  206   0.237   1.834  18.332    1
 3331co2     Oc  207   0.453   1.820  18.270    1
 3332co2     Co  208   0.191   0.665  44.218    0
 3332co2     Oc  209   0.206   0.561  44.268    0
 3332co2     Oc  210   0.184   0.763  44.152    0
 3333co2     Co  211   0.791   3.121  11.020    0
 3333co2     Oc  212   0.832   3.030  11.084    0
 3333co2     Oc  213   0.749   3.198  10.950    0
 3334co2     Co  214   0.679   3.446   3.946    0
 3334co2     Oc  215   0.658   3.556   3.933    0
 3334co2     Oc  216   0.707   3.333   3.959    0
 3335co2     Co  217   1.546   4.292  45.276    0
 3335co2     Oc  218   1.659   4.296  45.294    0
 3335co2     Oc  219   1.436   4.297  45.271    0
 3336co2     Co  220   3.293   4.192  16.821    1
 3336co2     Oc  221   3.380   4.184  16.900    1
 3336co2     Oc  222   3.200   4.187  16.751    1
 3337co2     Co  223   0.852   1.061  16.830    1
 3337co2     Oc  224   0.882   1.126  16.923    1
 3337co2     Oc  225   0.822   1.011  16.736    1
 3338co2     Co  226   1.287   2.933  22.073    1
 3338co2     Oc  227   1.378   2.892  22.013    1
 3338co2     Oc  228   1.194   2.967  22.133    1
 3339co2     Co  229   3.292   1.457  36.005    0
 3339co2     Oc  230   3.252   1.468  35.892    0
 3339co2     Oc  231   3.314   1.423  36.113    0
 3340co2     Co  232   1.122   2.328  44.168    0
 3340co2     Oc  233   1.024   2.363  44.221    0
 3340co2     Oc  234   1.214   2.275  44.113    0
 3341co2     Co  235   1.083   0.485  16.915    1
 3341co2     Oc  236   1.018   0.576  16.889    1
 3341co2     Oc  237   1.154   0.394  16.954    1
 3342co2     Co  238   2.451   2.783  16.265    0
 3342co2     Oc  239   2.468   2.796  16.378    0
 3342co2     Oc  240   2.429   2.781  16.153    0
 3343co2     Co  241   2.444   4.101  18.404    1
 3343co2     Oc  242   2.547   4.128  18.374    1
 3343co2     Oc  243   2.337   4.090  18.444    1
 3344co2     Co  244   2.941   0.046  21.162    1
 3344co2     Oc  245   2.890   0.150  21.180    1
 3344co2     Oc  246   2.990   4.447  21.140    1
 3345co2     Co  247   3.580   3.242  35.126    0
 3345co2     Oc  248   3.496   3.292  35.070    0
 3345co2     Oc  249   3.679   3.209  35.187    0
 3346co2     Co  250   2.664   3.133  39.416    0
 3346co2     Oc  251   2.630   3.074  39.519    0
 3346co2     Oc  252   2.685   3.207  39.333    0
 3347co2     Co  253   2.445   1.902  17.698    1
 3347co2     Oc  254   2.430   1.910  17.815    1
 3347co2     Oc  255   2.471   1.908  17.585    1
 3348co2     Co  256   1.525   0.269  26.720    1
 3348co2     Oc  257   1.513   0.370  26.669    1
 3348co2     Oc  258   1.522   0.168  26.776    1
 3349co2     Co  259   0.572   2.610  19.145    1
 3349co2     Oc  260   0.553   2.656  19.249    1
 3349co2     Oc  261   0.595   2.558  19.042    1
 3350co2     Co  262   0.278   1.915  32.019    0
 3350co2     Oc  263   0.385   1.874  32.038    0
 3350co2     Oc  264   0.169   1.957  31.999    0
 3351co2     Co  265   2.600   4.140  17.135    1
 3351co2     Oc  266   2.542   4.202  17.060    1
 3351co2     Oc  267   2.695   4.089  17.188    1
 3352co2     Co  268   2.635   4.125  30.892    2
 3352co2     Oc  269   2.595   4.100  30.787    2
 3352co2     Oc  270   2.676   4.154  30.993    2
 3353co2     Co  271   1.896   1.881  31.565    0
 3353co2     Oc  272   1.813   1.937  31.505    0
 3353co2     Oc  273   1.988   1.829  31.611    0
 3354co2     Co  274   0.347   1.550  10.562    0
 3354co2     Oc  275   0.372   1.436  10.555    0
 3354co2     Oc  276   0.330   1.666  10.575    0
 3355co2     Co  277   0.754   3.041  31.083    2
 3355co2     Oc  278   0.762   3.111  30.986    2
 3355co2     Oc  279   0.746   2.972  31.170    2
 3356co2     Co  280   1.037   1.166  17.351    1
 3356co2     Oc  281   1.139   1.138  17.305    1
 3356co2     Oc  282   0.942   1.215  17.397    1
 3357co2     Co  283   1.693   3.532   5.721    0
 3357co2     Oc  284   1.701   3.444   5.648    0
 3357co2     Oc  285   1.684   3.627   5.792    0
 3358co2     Co  286   1.604   4.154  31.145    2
 3358co2     Oc  287   1.585   4.140  31.257    2
 3358co2     Oc  288   1.639   4.150  31.033    2
 3359co2     Co  289   0.857   4.358  47.912    0
 3359co2     Oc  290   0.820   4.457  47.964    0
 3359co2     Oc  291   0.899   4.266  47.857    0
 3360co2     Co  292   0.972   4.180  18.014    1
 3360co2     Oc  293   0.976   4.184  17.897    1
 3360co2     Oc  294   0.970   4.164  18.131    1
 3361co2     Co  295   1.855   2.634  15.950    0
 3361co2     Oc  296   1.833   2.611  16.059    0
 3361co2     Oc  297   1.893   2.661  15.840    0
 3362co2     Co  298   2.111   1.195  47.775    0
 3362co2     Oc  299   2.180   1.291  47.755    0
 3362co2     Oc  300   2.054   1.105  47.803    0
 3363co2     Co  301   2.618   2.967  31.673    0
 3363co2     Oc  302   2.602   3.041  31.757    0
 3363co2     Oc  303   2.634   2.883  31.589    0
 3364co2     Co  304   0.875   3.922  33.695    0
 3364co2     Oc  305   0.946   3.973  33.760    0
 3364co2     Oc  306   0.802   3.848  33.637    0
 3365co2     Co  307   3.118   2.338  13.937    0
 3365co2     Oc  308   3.225   2.308  13.963    0
 3365co2     Oc  309   3.004   2.371  13.921    0
 3366co2     Co  310   3.150   2.326  48.057    0
 3366co2     Oc  311   3.107   2.244  48.126    0
 3366co2     Oc  312   3.179   2.414  47.987    0
 3367co2     Co  313   1.762   1.908  30.805    2
 3367co2     Oc  314   1.849   1.885  30.880    2
 3367co2     Oc  315   1.677   1.934  30.728    2
 3368co2     Co  316   1.499   1.919  30.016    2
 3368co2     Oc  317   1.458   1.910  30.122    2
 3368co2     Oc  318   1.522   1.932  29.904    2
 3369co2     Co  319   0.951   4.140  17.224    1
 3369co2     Oc  320   0.848   4.169  17.259    1
 3369co2     Oc  321   1.065   4.103  17.207    1
 3370co2     Co  322   2.507   2.598  39.708    0
 3370co2     Oc  323   2.618   2.603  39.746    0
 3370co2     Oc  324   2.400   2.560  39.693    0
 3371co2     Co  325   2.859   1.907  31.234    2
 3371co2     Oc  326   2.973   1.900  31.269    2
 3371co2     Oc  327   2.743   1.920  31.220    2
 3372co2     Co  328   1.256   0.498  34.644    0
 3372co2     Oc  329   1.177   0.485  34.556    0
 3372co2     Oc  330   1.328   0.491  34.738    0
 3373co2     Co  331   1.381   3.921  29.762    2
 3373co2     Oc  332   1.368   3.858  29.663    2
 3373co2     Oc  333   1.405   3.984  29.855    2
 3374co2     Co  334   3.045   0.352  30.881    2
 3374co2     Oc  335   2.972   0.347  30.789    2
 3374co2     Oc  336   3.121   0.360  30.960    2
 3375co2     Co  337   1.234   3.608  23.183    2
 3375co2     Oc  338   1.254   3.547  23.277    2
 3375co2     Oc  339   1.212   3.668  23.085    2
 3376co2     Co  340   2.495   3.573  13.359    0
 3376co2     Oc  341   2.604   3.599  13.374    0
 3376co2     Oc  342   2.383   3.566  13.332    0
 3377co2     Co  343   1.273   4.244   6.376    0
 3377co2     Oc  344   1.173   4.192   6.342    0
 3377co2     Oc  345   1.376   4.286   6.408    0
 3378co2     Co  346   1.158   4.171  32.162    0
 3378co2     Oc  347   1.156   4.073  32.101    0
 3378co2     Oc  348   1.150   4.278  32.218    0
 3379co2     Co  349   1.387   3.251  19.646    1
 3379co2     Oc  350   1.372   3.282  19.532    1
 3379co2     Oc  351   1.361   3.217  19.755    1
 3380co2     Co  352   0.747   3.146  21.208    1
 3380co2     Oc  353   0.792   3.201  21.305    1
 3380co2     Oc  354   0.705   3.083  21.125    1
 3381co2     Co  355   3.291   1.784  19.998    1
 3381co2     Oc  356   3.307   1.861  19.914    1
 3381co2     Oc  357   3.285   1.706  20.082    1
 3382co2     Co  358   2.929   2.558  31.473    0
 3382co2     Oc  359   2.820   2.559  31.433    0
 3382co2     Oc  360   3.042   2.585  31.508    0
 3383co2     Co  361   2.621   2.160  21.779    0
 3383co2     Oc  362   2.667   2.055  21.800    0
 3383co2     Oc  363   2.574   2.264  21.771    0
 3384co2     Co  364   0.024   1.831  17.442    1
 3384co2     Oc  365   0.076   1.833  17.548    1
 3384co2     Oc  366   3.677   1.842  17.334    1
 3385co2     Co  367   2.912   3.414  17.238    1
 3385co2     Oc  368   2.858   3.461  17.327    1
 3385co2     Oc  369   2.969   3.376  17.149    1
 3386co2     Co  370   0.748   1.868  18.205    1
 3386co2     Oc  371   0.797   1.821  18.109    1
 3386co2     Oc  372   0.728   1.927  18.297    1
 3387co2     Co  373   1.804   1.679  22.997    1
 3387co2     Oc  374   1.912   1.646  23.024    1
 3387co2     Oc  375   1.709   1.722  22.949    1
 3388co2     Co  376   3.340   2.981  21.295    1
 3388co2     Oc  377   3.404   2.912  21.225    1
 3388co2     Oc  378   3.290   3.066  21.360    1
 3389co2     Co  379   2.813   4.316   6.225    0
 3389co2     Oc  380   2.766   4.261   6.131    0
 3389co2     Oc  381   2.850   4.364   6.324    0
 3390co2     Co  382   3.241   1.846  17.545    1
 3390co2     Oc  383   3.350   1.862  17.581    1
 3390co2     Oc  384   3.135   1.829  17.507    1
 3391co2     Co  385   2.054   1.839  31.125    2
 3391co2     Oc  386   1.978   1.857  31.211    2
 3391co2     Oc  387   2.140   1.816  31.057    2
 3392co2     Co  388   0.066   1.370  29.685    2
 3392co2     Oc  389   3.661   1.430  29.655    2
 3392co2     Oc  390   0.161   1.313  29.729    2
 3393co2     Co  391   1.476   1.217  32.151    0
 3393co2     Oc  392   1.585   1.257  32.158    0
 3393co2     Oc  393   1.363   1.188  32.138    0
 3394co2     Co  394   1.313   0.857  25.713    0
 3394co2     Oc  395   1.292   0.779  25.634    0
 3394co2     Oc  396   1.332   0.936  25.801    0
 3395co2     Co  397   2.307   0.306   1.160    0
 3395co2     Oc  398   2.362   0.204   1.162    0
 3395co2     Oc  399   2.253   0.412   1.161    0
 3396co2     Co  400   3.018   2.549   2.518    0
 3396co2     Oc  401   2.998   2.496   2.621    0
