 3263co2;     Co;    1;   2.893;   1.926;  17.684
 3263co2;     Oc;    2;   2.900;   1.911;  17.568
 3263co2;     Oc;    3;   2.878;   1.933;  17.797
 3264co2;     Co;    4;   2.043;   2.022;  32.197
 3264co2;     Oc;    5;   1.971;   2.064;  32.279
 3264co2;     Oc;    6;   2.123;   1.970;  32.135
 3265co2;     Co;    7;   1.084;   0.811;  16.781
 3265co2;     Oc;    8;   1.190;   0.861;  16.781
 3265co2;     Oc;    9;   0.985;   0.754;  16.795
 3266co2;     Co;   10;   3.442;   2.098;  47.172
 3266co2;     Oc;   11;   3.525;   2.017;  47.163
 3266co2;     Oc;   12;   3.367;   2.183;  47.175
 3267co2;     Co;   13;   2.290;   2.641;  29.371
 3267co2;     Oc;   14;   2.248;   2.745;  29.375
 3267co2;     Oc;   15;   2.329;   2.535;  29.367
 3268co2;     Co;   16;   0.124;   0.521;  22.990
 3268co2;     Oc;   17;   0.114;   0.549;  23.104
 3268co2;     Oc;   18;   0.142;   0.480;  22.881
 3269co2;     Co;   19;   0.401;   4.367;  43.302
 3269co2;     Oc;   20;   0.430;   4.464;  43.252
 3269co2;     Oc;   21;   0.360;   4.261;  43.337
 3270co2;     Co;   22;   0.635;   2.443;   2.028
 3270co2;     Oc;   23;   0.557;   2.509;   2.083
 3270co2;     Oc;   24;   0.726;   2.389;   1.976
 3271co2;     Co;   25;   1.565;   2.517;  25.849
 3271co2;     Oc;   26;   1.630;   2.428;  25.825
 3271co2;     Oc;   27;   1.505;   2.613;  25.879
 3272co2;     Co;   28;   2.562;   2.459;   8.481
 3272co2;     Oc;   29;   2.611;   2.383;   8.406
 3272co2;     Oc;   30;   2.513;   2.527;   8.562
 3273co2;     Co;   31;   2.243;   1.340;  24.885
 3273co2;     Oc;   32;   2.150;   1.364;  24.954
 3273co2;     Oc;   33;   2.326;   1.292;  24.828
 3274co2;     Co;   34;   0.389;   0.279;  25.889
 3274co2;     Oc;   35;   0.386;   0.329;  25.781
 3274co2;     Oc;   36;   0.388;   0.228;  26.001
 3275co2;     Co;   37;   1.870;   0.332;  12.335
 3275co2;     Oc;   38;   1.788;   0.401;  12.372
 3275co2;     Oc;   39;   1.954;   0.256;  12.304
 3276co2;     Co;   40;   0.519;   2.194;  33.827
 3276co2;     Oc;   41;   0.437;   2.268;  33.882
 3276co2;     Oc;   42;   0.589;   2.120;  33.769
 3277co2;     Co;   43;   0.222;   3.360;   3.304
 3277co2;     Oc;   44;   0.262;   3.454;   3.356
 3277co2;     Oc;   45;   0.178;   3.270;   3.245
 3278co2;     Co;   46;   1.419;   0.413;  40.152
 3278co2;     Oc;   47;   1.415;   0.502;  40.076
 3278co2;     Oc;   48;   1.426;   0.322;  40.230
 3279co2;     Co;   49;   0.615;   1.868;  17.738
 3279co2;     Oc;   50;   0.526;   1.872;  17.660
 3279co2;     Oc;   51;   0.706;   1.883;  17.807
 3280co2;     Co;   52;   1.089;   3.633;  21.779
 3280co2;     Oc;   53;   1.054;   3.523;  21.757
 3280co2;     Oc;   54;   1.118;   3.743;  21.795
 3281co2;     Co;   55;   2.145;   2.081;   6.011
 3281co2;     Oc;   56;   2.208;   2.169;   6.050
 3281co2;     Oc;   57;   2.074;   2.003;   5.972
 3282co2;     Co;   58;   2.285;   1.161;  20.409
 3282co2;     Oc;   59;   2.226;   1.119;  20.499
 3282co2;     Oc;   60;   2.348;   1.202;  20.322
 3283co2;     Co;   61;   0.374;   4.108;  17.125
 3283co2;     Oc;   62;   0.313;   4.106;  17.219
 3283co2;     Oc;   63;   0.423;   4.106;  17.019
 3284co2;     Co;   64;   1.849;   0.697;  17.033
 3284co2;     Oc;   65;   1.831;   0.784;  17.109
 3284co2;     Oc;   66;   1.865;   0.613;  16.949
 3285co2;     Co;   67;   2.053;   3.285;  29.205
 3285co2;     Oc;   68;   2.013;   3.382;  29.256
 3285co2;     Oc;   69;   2.083;   3.189;  29.142
 3286co2;     Co;   70;   0.277;   0.723;  27.517
 3286co2;     Oc;   71;   0.226;   0.797;  27.591
 3286co2;     Oc;   72;   0.343;   0.644;  27.458
 3287co2;     Co;   73;   2.307;   4.154;  18.840
 3287co2;     Oc;   74;   2.402;   4.206;  18.888
 3287co2;     Oc;   75;   2.229;   4.087;  18.782
 3288co2;     Co;   76;   0.973;   1.925;  18.702
 3288co2;     Oc;   77;   0.873;   1.927;  18.768
 3288co2;     Oc;   78;   1.070;   1.910;  18.648
 3289co2;     Co;   79;   3.334;   3.272;  43.380
 3289co2;     Oc;   80;   3.291;   3.198;  43.455
 3289co2;     Oc;   81;   3.403;   3.339;  43.317
 3290co2;     Co;   82;   3.550;   0.394;  32.122
 3290co2;     Oc;   83;   3.457;   0.423;  32.053
 3290co2;     Oc;   84;   3.646;   0.352;  32.172
 3291co2;     Co;   85;   1.848;   2.732;  17.478
 3291co2;     Oc;   86;   1.800;   2.837;  17.481
 3291co2;     Oc;   87;   1.901;   2.633;  17.488
 3292co2;     Co;   88;   3.026;   1.840;  16.909
 3292co2;     Oc;   89;   3.099;   1.904;  16.969
 3292co2;     Oc;   90;   2.947;   1.779;  16.852
 3293co2;     Co;   91;   0.087;   4.087;  30.588
 3293co2;     Oc;   92;   0.166;   4.033;  30.523
 3293co2;     Oc;   93;   0.027;   4.127;  30.677
 3294co2;     Co;   94;   1.102;   2.314;  43.229
 3294co2;     Oc;   95;   1.188;   2.377;  43.276
 3294co2;     Oc;   96;   1.005;   2.258;  43.204
 3295co2;     Co;   97;   0.918;   1.675;  21.298
