 3300co2;     Co;  112;   1.344;   3.864;  41.576
 3300co2;     Oc;  113;   1.330;   3.829;  41.685
 3300co2;     Oc;  114;   1.355;   3.898;  41.470
 3301co2;     Co;  115;   1.211;   3.399;  36.779
 3301co2;     Oc;  116;   1.162;   3.416;  36.885
 3301co2;     Oc;  117;   1.248;   3.394;  36.669
 3302co2;     Co;  118;   0.987;   1.914;  18.141
 3302co2;     Oc;  119;   0.985;   1.920;  18.251
 3302co2;     Oc;  120;   0.995;   1.909;  18.021
 3303co2;     Co;  121;   2.959;   4.323;  12.498
 3303co2;     Oc;  122;   3.013;   4.275;  12.406
 3303co2;     Oc;  123;   2.918;   4.390;  12.588
 3304co2;     Co;  124;   3.589;   3.897;   1.201
 3304co2;     Oc;  125;   3.577;   4.013;   1.218
 3304co2;     Oc;  126;   3.615;   3.786;   1.187
 3305co2;     Co;  127;   0.929;   4.039;   8.305
 3305co2;     Oc;  128;   0.823;   3.997;   8.332
 3305co2;     Oc;  129;   1.035;   4.089;   8.292
 3306co2;     Co;  130;   2.893;   1.457;  29.678
 3306co2;     Oc;  131;   2.978;   1.380;  29.706
 3306co2;     Oc;  132;   2.824;   1.541;  29.639
 3307co2;     Co;  133;   1.313;   4.165;  17.953
 3307co2;     Oc;  134;   1.278;   4.149;  17.842
 3307co2;     Oc;  135;   1.351;   4.170;  18.056
 3308co2;     Co;  136;   1.109;   0.823;   1.699
 3308co2;     Oc;  137;   1.139;   0.814;   1.811
 3308co2;     Oc;  138;   1.062;   0.824;   1.598
 3309co2;     Co;  139;   2.647;   3.059;  26.274
 3309co2;     Oc;  140;   2.700;   3.122;  26.354
 3309co2;     Oc;  141;   2.600;   3.013;  26.180
 3310co2;     Co;  142;   0.063;   1.891;  17.772
 3310co2;     Oc;  143;   3.680;   1.891;  17.869
 3310co2;     Oc;  144;   0.113;   1.886;  17.668
 3311co2;     Co;  145;   0.199;   1.679;  12.901
 3311co2;     Oc;  146;   0.302;   1.633;  12.881
 3311co2;     Oc;  147;   0.094;   1.730;  12.910
 3312co2;     Co;  148;   0.507;   2.574;  17.311
 3312co2;     Oc;  149;   0.389;   2.598;  17.324
 3312co2;     Oc;  150;   0.621;   2.567;  17.296
 3313co2;     Co;  151;   3.450;   0.601;   2.373
 3313co2;     Oc;  152;   3.425;   0.508;   2.305
 3313co2;     Oc;  153;   3.480;   0.690;   2.440
 3314co2;     Co;  154;   0.009;   4.353;  37.684
 3314co2;     Oc;  155;   3.658;   4.419;  37.594
 3314co2;     Oc;  156;   0.055;   4.288;  37.772
 3315co2;     Co;  157;   0.400;   1.899;  30.749
 3315co2;     Oc;  158;   0.304;   1.872;  30.811
 3315co2;     Oc;  159;   0.503;   1.901;  30.706
 3316co2;     Co;  160;   3.185;   3.389;  30.018
 3316co2;     Oc;  161;   3.290;   3.421;  30.054
 3316co2;     Oc;  162;   3.082;   3.363;  29.972
 3317co2;     Co;  163;   1.987;   3.326;  39.953
 3317co2;     Oc;  164;   1.899;   3.388;  39.918
 3317co2;     Oc;  165;   2.081;   3.265;  39.983
 3318co2;     Co;  166;   0.479;   1.099;  11.979
 3318co2;     Oc;  167;   0.548;   1.012;  12.017
 3318co2;     Oc;  168;   0.409;   1.183;  11.944
 3319co2;     Co;  169;   2.433;   3.936;  11.062
 3319co2;     Oc;  170;   2.358;   3.853;  11.092
 3319co2;     Oc;  171;   2.526;   4.005;  11.040
 3320co2;     Co;  172;   2.913;   3.049;  48.669
 3320co2;     Oc;  173;   2.883;   2.936;  48.655
 3320co2;     Oc;  174;   2.937;   3.158;  48.692
 3321co2;     Co;  175;   0.666;   0.977;   9.496
 3321co2;     Oc;  176;   0.698;   1.080;   9.460
 3321co2;     Oc;  177;   0.631;   0.866;   9.524
 3322co2;     Co;  178;   0.420;   3.500;  41.425
 3322co2;     Oc;  179;   0.307;   3.505;  41.458
 3322co2;     Oc;  180;   0.528;   3.495;  41.388
 3323co2;     Co;  181;   1.762;   0.705;  22.048
 3323co2;     Oc;  182;   1.830;   0.644;  21.979
 3323co2;     Oc;  183;   1.715;   0.788;  22.111
 3324co2;     Co;  184;   0.470;   1.822;  18.001
 3324co2;     Oc;  185;   0.580;   1.842;  17.984
 3324co2;     Oc;  186;   0.354;   1.818;  17.998
 3325co2;     Co;  187;   0.582;   4.106;  17.919
 3325co2;     Oc;  188;   0.503;   4.092;  18.000
 3325co2;     Oc;  189;   0.666;   4.114;  17.848
 3326co2;     Co;  190;   0.874;   2.436;  22.947
 3326co2;     Oc;  191;   0.965;   2.462;  22.888
 3326co2;     Oc;  192;   0.783;   2.406;  23.013
 3327co2;     Co;  193;   2.076;   1.166;  31.144
 3327co2;     Oc;  194;   2.011;   1.164;  31.240
 3327co2;     Oc;  195;   2.135;   1.190;  31.048
 3328co2;     Co;  196;   1.997;   1.938;  17.878
 3328co2;     Oc;  197;   2.103;   1.930;  17.847
 3328co2;     Oc;  198;   1.896;   1.962;  17.930
 3329co2;     Co;  199;   2.222;   0.673;  22.081
 3329co2;     Oc;  200;   2.319;   0.699;  22.142
 3329co2;     Oc;  201;   2.141;   0.656;  22.004
 3330co2;     Co;  202;   0.172;   1.171;  17.832
 3330co2;     Oc;  203;   0.272;   1.162;  17.891
 3330co2;     Oc;  204;   0.067;   1.179;  17.776
 3331co2;     Co;  205;   1.007;   1.902;  31.615
 3331co2;     Oc;  206;   1.120;   1.922;  31.630
 3331co2;     Oc;  207;   0.896;   1.884;  31.599
 3332co2;     Co;  208;   0.315;   1.710;  11.511
 3332co2;     Oc;  209;   0.254;   1.700;  11.418
 3332co2;     Oc;  210;   0.387;   1.697;  11.605
 3333co2;     Co;  211;   2.030;   4.352;  15.960
 3333co2;     Oc;  212;   1.952;   4.430;  15.990
 3333co2;     Oc;  213;   2.101;   4.274;  15.924
 3334co2;     Co;  214;   2.838;   0.905;  17.467
 3334co2;     Oc;  215;   2.838;   0.811;  17.534
 3334co2;     Oc;  216;   2.849;   0.997;  17.403
 3335co2;     Co;  217;   0.825;   1.810;  35.464
 3335co2;     Oc;  218;   0.769;   1.848;  35.557
 3335co2;     Oc;  219;   0.858;   1.769;  35.365
 3336co2;     Co;  220;   2.185;   3.191;  22.756
