 3263co2;     Co;    1;   1.911;   1.363;  28.729
 3263co2;     Oc;    2;   1.909;   1.250;  28.706
 3263co2;     Oc;    3;   1.922;   1.475;  28.747
 3264co2;     Co;    4;   3.533;   4.108;  30.733
 3264co2;     Oc;    5;   3.584;   4.068;  30.639
 3264co2;     Oc;    6;   3.460;   4.141;  30.813
 3265co2;     Co;    7;   0.597;   3.743;  13.388
 3265co2;     Oc;    8;   0.714;   3.747;  13.396
 3265co2;     Oc;    9;   0.486;   3.716;  13.370
 3266co2;     Co;   10;   1.685;   4.104;  17.429
 3266co2;     Oc;   11;   1.596;   4.059;  17.378
 3266co2;     Oc;   12;   1.779;   4.157;  17.478
 3267co2;     Co;   13;   1.882;   0.170;  29.092
 3267co2;     Oc;   14;   1.899;   0.274;  29.136
 3267co2;     Oc;   15;   1.872;   0.064;  29.043
 3268co2;     Co;   16;   1.999;   0.292;  22.694
 3268co2;     Oc;   17;   1.931;   0.372;  22.644
 3268co2;     Oc;   18;   2.065;   0.208;  22.736
 3269co2;     Co;   19;   1.419;   2.387;  36.412
 3269co2;     Oc;   20;   1.398;   2.496;  36.397
 3269co2;     Oc;   21;   1.448;   2.272;  36.436
 3270co2;     Co;   22;   0.633;   4.154;  18.496
 3270co2;     Oc;   23;   0.687;   4.184;  18.401
 3270co2;     Oc;   24;   0.577;   4.126;  18.594
 3271co2;     Co;   25;   1.556;   1.373;  27.668
 3271co2;     Oc;   26;   1.651;   1.300;  27.669
 3271co2;     Oc;   27;   1.469;   1.453;  27.673
 3272co2;     Co;   28;   3.315;   1.541;  12.750
 3272co2;     Oc;   29;   3.256;   1.465;  12.809
 3272co2;     Oc;   30;   3.372;   1.630;  12.712
 3273co2;     Co;   31;   1.108;   4.499;  27.410
 3273co2;     Oc;   32;   1.210;   4.442;  27.392
 3273co2;     Oc;   33;   1.005;   0.040;  27.447
 3274co2;     Co;   34;   1.955;   3.581;  23.147
 3274co2;     Oc;   35;   1.913;   3.570;  23.039
 3274co2;     Oc;   36;   2.007;   3.583;  23.249
 3275co2;     Co;   37;   0.448;   4.130;  17.515
 3275co2;     Oc;   38;   0.560;   4.119;  17.485
 3275co2;     Oc;   39;   0.341;   4.158;  17.534
 3276co2;     Co;   40;   1.537;   0.368;  38.390
 3276co2;     Oc;   41;   1.463;   0.340;  38.482
 3276co2;     Oc;   42;   1.612;   0.406;  38.310
 3277co2;     Co;   43;   2.593;   0.598;  34.783
 3277co2;     Oc;   44;   2.697;   0.564;  34.833
 3277co2;     Oc;   45;   2.494;   0.622;  34.734
 3278co2;     Co;   46;   3.421;   1.071;  37.145
 3278co2;     Oc;   47;   3.368;   1.134;  37.223
 3278co2;     Oc;   48;   3.477;   1.016;  37.064
 3279co2;     Co;   49;   0.291;   1.924;  45.169
 3279co2;     Oc;   50;   0.279;   1.815;  45.204
 3279co2;     Oc;   51;   0.303;   2.032;  45.122
 3280co2;     Co;   52;   1.821;   1.813;  20.266
 3280co2;     Oc;   53;   1.827;   1.923;  20.231
 3280co2;     Oc;   54;   1.822;   1.703;  20.304
 3281co2;     Co;   55;   0.819;   4.337;  41.634
 3281co2;     Oc;   56;   0.847;   4.354;  41.527
 3281co2;     Oc;   57;   0.789;   4.340;  41.744
 3282co2;     Co;   58;   2.760;   4.187;  31.090
 3282co2;     Oc;   59;   2.812;   4.223;  30.992
 3282co2;     Oc;   60;   2.703;   4.128;  31.172
 3283co2;     Co;   61;   1.795;   1.873;  18.652
 3283co2;     Oc;   62;   1.861;   1.797;  18.698
 3283co2;     Oc;   63;   1.746;   1.959;  18.590
 3284co2;     Co;   64;   3.062;   0.688;   5.643
 3284co2;     Oc;   65;   3.077;   0.668;   5.754
 3284co2;     Oc;   66;   3.047;   0.707;   5.525
 3285co2;     Co;   67;   0.422;   0.032;  26.066
