 3263co2;     Co;    1;   2.639;   3.136;  26.535
 3263co2;     Oc;    2;   2.566;   3.076;  26.472
 3263co2;     Oc;    3;   2.714;   3.198;  26.593
 3264co2;     Co;    4;   2.981;   1.054;  32.110
 3264co2;     Oc;    5;   3.001;   1.150;  32.053
 3264co2;     Oc;    6;   2.970;   0.969;  32.181
 3265co2;     Co;    7;   1.918;   2.531;  44.962
 3265co2;     Oc;    8;   1.921;   2.586;  45.062
 3265co2;     Oc;    9;   1.924;   2.487;  44.855
 3266co2;     Co;   10;   1.749;   0.211;   0.327
 3266co2;     Oc;   11;   1.652;   0.254;   0.275
 3266co2;     Oc;   12;   1.840;   0.159;   0.375
 3267co2;     Co;   13;   1.110;   4.190;  24.602
 3267co2;     Oc;   14;   1.033;   4.158;  24.519
 3267co2;     Oc;   15;   1.190;   4.211;  24.686
 3268co2;     Co;   16;   1.125;   0.081;  20.009
 3268co2;     Oc;   17;   1.080;   0.138;  19.916
 3268co2;     Oc;   18;   1.184;   0.019;  20.084
 3269co2;     Co;   19;   1.090;   2.600;  46.507
 3269co2;     Oc;   20;   1.014;   2.583;  46.600
 3269co2;     Oc;   21;   1.172;   2.604;  46.430
 3270co2;     Co;   22;   1.300;   4.160;   0.586
 3270co2;     Oc;   23;   1.225;   4.146;   0.499
 3270co2;     Oc;   24;   1.379;   4.175;   0.670
 3271co2;     Co;   25;   3.509;   1.064;  26.630
 3271co2;     Oc;   26;   3.437;   1.133;  26.688
 3271co2;     Oc;   27;   3.589;   1.004;  26.571
 3272co2;     Co;   28;   2.198;   1.873;  30.717
 3272co2;     Oc;   29;   2.090;   1.848;  30.692
 3272co2;     Oc;   30;   2.302;   1.911;  30.753
 3273co2;     Co;   31;   1.827;   0.609;  25.570
 3273co2;     Oc;   32;   1.750;   0.674;  25.623
 3273co2;     Oc;   33;   1.903;   0.527;  25.538
 3274co2;     Co;   34;   1.776;   1.947;  23.695
 3274co2;     Oc;   35;   1.731;   1.838;  23.692
 3274co2;     Oc;   36;   1.800;   2.060;  23.690
 3275co2;     Co;   37;   3.252;   4.053;  30.692
 3275co2;     Oc;   38;   3.321;   4.060;  30.593
 3275co2;     Oc;   39;   3.201;   4.052;  30.799
 3276co2;     Co;   40;   1.383;   4.141;  29.798
 3276co2;     Oc;   41;   1.358;   4.246;  29.755
 3276co2;     Oc;   42;   1.443;   4.044;  29.841
 3277co2;     Co;   43;   0.430;   0.445;   6.033
 3277co2;     Oc;   44;   0.542;   0.461;   6.027
 3277co2;     Oc;   45;   0.318;   0.455;   6.021
 3278co2;     Co;   46;   0.364;   1.855;  17.057
 3278co2;     Oc;   47;   0.455;   1.800;  17.001
 3278co2;     Oc;   48;   0.277;   1.916;  17.096
 3279co2;     Co;   49;   1.516;   4.186;  16.894
 3279co2;     Oc;   50;   1.630;   4.204;  16.873
 3279co2;     Oc;   51;   1.410;   4.148;  16.926
 3280co2;     Co;   52;   2.328;   2.267;  22.216
 3280co2;     Oc;   53;   2.308;   2.307;  22.107
 3280co2;     Oc;   54;   2.344;   2.216;  22.318
 3281co2;     Co;   55;   2.976;   4.097;  18.595
 3281co2;     Oc;   56;   2.956;   4.147;  18.702
 3281co2;     Oc;   57;   3.005;   4.062;  18.490
 3282co2;     Co;   58;   3.379;   4.280;   7.368
 3282co2;     Oc;   59;   3.444;   4.269;   7.272
 3282co2;     Oc;   60;   3.331;   4.297;   7.470
 3283co2;     Co;   61;   3.668;   0.899;  13.662
 3283co2;     Oc;   62;   0.049;   0.911;  13.752
 3283co2;     Oc;   63;   3.587;   0.877;  13.579
 3284co2;     Co;   64;   1.670;   1.863;  17.951
 3284co2;     Oc;   65;   1.684;   1.894;  17.844
 3284co2;     Oc;   66;   1.656;   1.831;  18.061
 3285co2;     Co;   67;   3.270;   2.158;  21.918
 3285co2;     Oc;   68;   3.303;   2.084;  21.993
 3285co2;     Oc;   69;   3.231;   2.245;  21.847
 3286co2;     Co;   70;   2.295;   0.688;   6.657
 3286co2;     Oc;   71;   2.408;   0.658;   6.683
 3286co2;     Oc;   72;   2.185;   0.724;   6.650
 3287co2;     Co;   73;   1.952;   1.361;  43.090
 3287co2;     Oc;   74;   2.011;   1.406;  42.996
 3287co2;     Oc;   75;   1.899;   1.312;  43.183
 3288co2;     Co;   76;   1.897;   0.752;  37.625
 3288co2;     Oc;   77;   1.872;   0.768;  37.516
